Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
23	128	2.87e-19	18.5	5.53	-20	-98.4	-4.21	-31.4	-88.7	-1.1	547	-26.4	-95.4	-14.7	310
22	50	1.01e-09	9	5.56	25.8	-95	-3.69	29.9	-93.2	-4.02	957	29.1	-94.9	-3.59	425
21	41	2.29e-08	7.64	4.7	-59.1	-33.6	52.5	-41.6	-39.5	44.3	638	-49	-36.2	44.1	356
20	33	4.77e-07	6.32	4.83	32.1	-50	-39.5	33.4	-49.9	-31.6	494	45.1	-58.6	-27.2	266
19	27	4.95e-06	5.31	4.21	-32.8	-53.5	68.3	-35	-51.1	62.5	994	-46	-43.6	60.4	509
18	26	7.45e-06	5.13	5.18	-42.4	-73.6	-54.3	-40.3	-63.4	-55.2	367	-42.4	-73.6	-54.3	250
17	23	2.69e-05	4.57	4.97	12.5	-101	7.01	13.3	-101	3.41	462	9.33	-104	7.71	319
16	20	0.000102	3.99	4.32	39.6	-41	48.2	46.7	-34.6	48.4	411	45.9	-36.7	51.9	309
15	18	0.000259	3.59	3.86	58	10.9	44	55.9	10.9	37.5	669	58.2	13.9	33.7	425
14	17	0.000418	3.38	4.44	-15.4	-67.4	44.2	-16.8	-67.4	43.4	1.45e+03	-15.5	-71.8	50.1	452
13	16	0.000679	3.17	4.67	45.3	-78.9	-12.2	43.6	-76.8	-7.76	630	45.3	-78.9	-12.2	334
12	15	0.00112	2.95	3.77	-45.6	4.59	-4.88	-43.4	11.1	-3.52	653	-45.6	7.47	-5.67	449
11	15	0.00112	2.95	3.83	-49.9	-62.5	-29.2	-45.5	-61.7	-29.9	414	-46.5	-65.4	-28.3	302
10	15	0.00112	2.95	4.44	24.9	7.38	62.8	30.7	6.79	55.3	775	34.8	6.11	58.8	330
9	14	0.00186	2.73	4.8	37.7	48.1	33.1	37.1	46.9	29.6	545	37.8	49.6	28	311
8	12	0.00532	2.27	4.59	26.4	-75.7	-51.5	23.7	-75.3	-53.3	349	23.3	-77.1	-56	241
7	12	0.00532	2.27	4.11	8.2	9.96	71.1	8.76	9.28	69.7	1.42e+03	5.03	4.17	72.5	644
6	11	0.00919	2.04	4.74	35.8	19.7	3	35.7	19.6	3.03	560	35.8	19.7	3	417
5	11	0.00919	2.04	4.07	30.8	-75.4	38.4	29	-70.2	37	417	27.4	-66.8	35.9	281
4	10	0.0161	1.79	4.27	33.1	-51.2	55.5	31.5	-50.6	53.6	660	33.1	-51.2	55.5	397
3	9	0.0288	1.54	4.6	7.37	-23.6	4.54	8.6	-20.7	7.37	618	7.18	-19.4	8.09	433
2	9	0.0288	1.54	4.64	25.7	45.6	-13.9	27.5	43.9	-16	412	25.7	45.6	-13.9	328
1	9	0.0288	1.54	4.71	32.3	-49.9	-49	33.5	-46.3	-48.1	357	32.2	-47	-49.8	292
