Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
18	244	2.76e-30	29.6	6.38	23	6	11	21.1	8.94	13.7	1.11e+03	16	10	17	565
17	106	7.58e-17	16.1	6.22	39	5	13	41.2	7.02	13.8	1.83e+03	40	5	13	672
16	46	3.94e-09	8.4	4.19	18	15	30	21.2	12.9	30	1.78e+03	18	15	30	766
15	35	2.38e-07	6.62	6.13	35	2	15	35	2.63	14.1	1e+03	34	4	13	634
14	33	4.77e-07	6.32	4.79	41	23	9	40.9	22.5	9.61	686	41	23	9	435
13	29	2.21e-06	5.66	4.4	14	19	29	16.9	19.8	27.3	1.12e+03	17	19	27	594
12	20	0.000102	3.99	4.6	18	25	31	18	24.4	31.4	1.31e+03	18	24	31	775
11	16	0.000679	3.17	4.72	30	29	19	28.5	28.7	20	797	30	28	19	538
10	13	0.00312	2.51	3.95	18	37	19	18.6	36.8	19	1.09e+03	18	38	19	723
9	12	0.00532	2.27	4.09	21	49	27	21.7	49.4	26.7	805	21	49	27	545
8	10	0.0161	1.79	5.07	12	24	26	12.1	23.7	25.7	1.17e+03	12	24	26	718
7	10	0.0161	1.79	4.61	45	13	17	44.7	13.7	17	876	45	13	17	648
6	10	0.0161	1.79	4.46	43	41	21	42.9	40.9	21	895	43	41	21	658
5	10	0.0161	1.79	3.67	41	13	28	41.7	12.5	27.7	1.07e+03	43	11	28	698
4	10	0.0161	1.79	3.61	13	27	23	14.4	26.5	21.5	1.3e+03	14	27	21	868
3	9	0.0288	1.54	4.68	34	27	19	34.4	27.7	19.8	1.03e+03	34	28	20	732
2	9	0.0288	1.54	4.19	27	9	25	27	8.83	25.2	2.48e+03	27	7	26	920
1	9	0.0288	1.54	3.74	31	7	16	30.8	7.88	16.2	1.1e+03	31	8	16	829
