Cluster Index	Z	x	y	z	
23	5.53	25	4	13
23	5.28	21	6	14
23	5.27	23	6	11
23	4.93	24	6	17
23	4.85	21	6	18
23	4.72	27	2	13
22	5.56	39	5	13
22	5.36	42	7	12
22	3.66	41	8	15
21	4.7	14	19	29
21	4.23	23	18	26
21	3.93	17	20	27
21	3.6	22	14	26
20	4.83	41	23	8
20	4.27	44	20	11
19	4.21	22	11	31
19	4.03	17	15	30
19	3.82	23	10	29
19	3.8	25	11	30
19	3.69	22	13	30
18	5.18	18	17	4
18	5.14	19	19	4
18	4.6	19	24	6
18	3.91	20	21	2
17	4.97	35	2	15
17	4.48	36	5	15
17	4.11	35	2	13
17	3.85	35	4	13
16	4.32	44	17	27
16	4.3	46	18	28
16	3.79	47	22	27
16	3.63	47	20	28
15	3.86	50	34	29
15	3.71	50	37	27
14	4.44	27	9	25
14	3.31	25	10	23
13	4.67	45	11	12
13	3.83	44	12	15
12	4.44	40	31	33
12	3.61	43	32	30
11	3.77	18	37	19
10	3.83	16	18	10
10	3.83	19	20	10
9	4.8	44	47	29
9	3.81	45	46	27
9	3.5	44	48	27
8	4.11	35	31	35
7	4.59	39	16	4
7	4.2	37	17	4
6	4.74	43	41	21
5	4.07	41	7	23
5	4.01	40	10	23
4	4.27	42	13	28
3	4.6	34	27	19
2	4.71	41	24	6
1	4.64	40	51	19
