Cluster Index	Z	x	y	z	
23	5.53	-20	-98.4	-4.21
23	5.28	-33.4	-91.4	-1.82
23	5.27	-26.4	-95.4	-14.7
23	4.93	-24	-87.1	11.5
23	4.85	-34	-85.9	15.6
23	4.72	-13.4	-104	-2.44
22	5.56	25.8	-95	-3.69
22	5.36	35.6	-90.5	-9.34
22	3.66	31.9	-83.5	2.82
21	4.7	-59.1	-33.6	52.5
21	4.23	-29.2	-40.3	41.1
21	3.93	-49.1	-33.3	43.3
21	3.6	-32.2	-51.8	44.1
20	4.83	32.1	-50	-39.5
20	4.27	41.6	-54.4	-23.8
19	4.21	-32.8	-53.5	68.3
19	4.03	-49.2	-43.6	60.3
19	3.82	-29.2	-59.1	60.4
19	3.8	-22.8	-54.8	64.2
19	3.69	-32.7	-49.2	62.3
18	5.18	-42.4	-73.6	-54.3
18	5.14	-39.3	-67.8	-55.8
18	4.6	-39.8	-50.7	-51
18	3.91	-35.8	-64.8	-66
17	4.97	12.5	-101	7.01
17	4.48	15.7	-92.3	4.73
17	4.11	12.8	-104	-1.69
17	3.85	12.7	-98	-3.27
16	4.32	39.6	-41	48.2
16	4.3	45.9	-36.7	51.9
16	3.79	49.1	-26.5	44.5
16	3.63	49.1	-30.9	50.4
15	3.86	58	10.9	44
15	3.71	58.1	16.7	32.9
14	4.44	-15.4	-67.4	44.2
14	3.31	-21.8	-67.3	34.5
13	4.67	45.3	-78.9	-12.2
13	3.83	41.5	-71.9	-0.0581
12	3.77	-45.6	4.59	-4.88
11	3.83	-49.9	-62.5	-29.2
11	3.83	-40.1	-56.7	-30.5
10	4.44	24.9	7.38	62.8
10	3.61	35.1	6.24	49.3
9	4.8	37.7	48.1	33.1
9	3.81	41.3	42.5	25.3
9	3.5	37.9	48.2	23.7
8	4.59	26.4	-75.7	-51.5
8	4.2	19.8	-72.9	-52.5
7	4.11	8.2	9.96	71.1
6	4.74	35.8	19.7	3
5	4.07	30.8	-75.4	38.4
5	4.01	27.4	-66.8	35.9
4	4.27	33.1	-51.2	55.5
3	4.6	7.37	-23.6	4.54
2	4.64	25.7	45.6	-13.9
1	4.71	32.3	-49.9	-49
