Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
20	2221	4.02e-27	26.4	9.12	-42	-78	-2	-40.4	-75.5	-2.79	693	-42	-88	4	279
19	2086	5.64e-26	25.2	7.24	-48	-24	36	-48.9	-27	37.5	798	-36	-20	70	258
18	1630	6.71e-22	21.2	8.81	36	-86	8	39.8	-80.7	4.89	564	36	-86	8	256
17	488	2.65e-09	8.58	6.2	-10	-18	4	-4.78	-18.5	4.94	546	6	-18	6	283
16	414	5.96e-08	7.22	6.02	14	-70	48	25.3	-64.4	38.8	529	14	-70	48	239
15	356	2.38e-07	6.62	4.73	8	14	36	-1.81	4.75	41	367	4	14	38	242
14	346	2.98e-07	6.53	5.57	64	-28	16	63.3	-33	18.9	422	66	-22	6	247
13	339	4.17e-07	6.38	5.46	-52	4	2	-50	8.09	4.8	409	-36	16	6	241
12	327	6.56e-07	6.18	4.81	34	-64	-18	24	-59.9	-19.7	261	34	-64	-18	196
11	315	1.01e-06	5.99	5.55	52	-20	32	58.2	-18.4	36.5	383	52	-20	32	231
10	307	1.37e-06	5.86	6.46	16	-66	-52	18	-66.4	-49.1	376	16	-66	-52	210
9	263	7.39e-06	5.13	7.15	-58	4	34	-51.9	3.24	30.7	582	-58	4	34	257
8	155	0.000753	3.12	4.93	-22	-64	8	-18	-62.8	4.82	345	-16	-72	8	249
7	131	0.0024	2.62	5.25	-26	-8	46	-26.4	-5.36	49.5	285	-26	-8	46	212
6	124	0.00341	2.47	4.02	-22	-68	-50	-15	-71.4	-51.5	272	-4	-76	-48	194
5	113	0.006	2.22	4.91	26	62	20	28.3	59.6	21.6	502	26	62	20	334
4	110	0.00702	2.15	4.84	26	-50	0	26.6	-54.1	4.99	338	26	-48	0	236
3	102	0.0107	1.97	5.05	40	-38	48	39.6	-39	49	360	40	-40	48	226
2	95	0.0157	1.8	4.99	42	6	30	47.8	8.27	26.9	354	56	16	26	235
1	84	0.029	1.54	4.99	28	0	50	28.5	0.617	49.3	284	28	0	48	215
