Cluster Index	Z	x	y	z	
17	7.29	-56	-34	54
17	7	-30	-40	66
17	6.67	-42	-34	64
17	6.28	-40	-4	64
17	6.19	-40	-24	52
17	6.17	-54	-40	56
16	6.24	52	-66	-4
16	5.67	46	-82	-14
16	5.35	26	-52	-28
16	5.28	16	-56	-18
16	5.22	40	-54	-26
16	5.16	26	-60	-16
15	6.45	-54	-76	-2
15	6.39	-38	-88	16
15	6.31	-30	-82	-18
15	5.59	-64	-54	0
15	5.35	-52	-74	-6
15	5.34	-68	-48	12
14	6.3	22	-100	8
14	5.83	38	-90	6
14	5.78	28	-96	12
14	5.16	34	-92	12
14	4.9	32	-86	14
14	4.82	36	-92	-2
13	4.64	24	-76	-24
13	4.38	16	-74	-18
13	4.34	30	-74	-22
13	4.3	6	-74	-14
13	4.27	-10	-72	-10
13	3.95	20	-70	-28
12	6.16	44	-28	38
12	3.87	58	-24	38
12	3.74	54	-34	32
11	5.75	24	-68	58
11	4.81	14	-70	54
11	4.8	10	-70	58
11	4.29	10	-62	64
11	3.46	24	-60	64
10	5.05	32	-52	36
10	4.34	34	-40	50
10	4.28	40	-52	54
10	4.17	38	-54	32
10	3.73	44	-54	54
10	3.27	50	-52	54
9	5.32	-30	-52	-14
9	5.19	-40	-44	-14
9	4.6	-28	-62	-18
9	3.22	-36	-62	-24
8	5.46	50	-28	-6
8	5.01	56	-28	-2
8	4.75	56	-32	4
8	4.4	48	-36	6
7	6.26	-28	-76	26
7	4.2	-26	-88	30
7	3.82	-26	-86	36
6	4.7	38	-54	-54
6	4.56	32	-48	-50
5	5.83	-26	-70	56
5	5.27	-30	-60	54
4	4.56	10	44	-16
4	4.35	16	42	-20
4	3.96	10	36	-22
4	3.61	16	54	-14
4	3.53	16	56	-18
3	5.31	40	20	-20
3	4.22	14	18	-16
3	3.77	20	24	-18
3	3.59	28	24	-18
2	5.34	58	14	36
2	4.49	58	4	40
2	4.33	42	8	42
2	4.29	54	2	44
2	4.2	46	8	42
1	4.13	24	-66	40
1	4.06	18	-66	48
1	3.94	20	-64	44
